date,Amazon.com Inc.,Baidu Inc.,Apple Inc.,Alibaba Group Holding Limited,Facebook Inc.,Twitter Inc.
2019-11-08,1783.1,124.5,259.8,187.1,190.6,29.2
2019-11-07,1784.4,122.0,259.1,186.6,190.2,29.0
2019-11-06,1794.5,107.3,257.0,184.0,191.4,29.5
2019-11-05,1802.2,108.2,257.0,181.7,194.3,29.8
2019-11-04,1804.4,109.5,257.3,179.9,194.5,30.0
2019-11-01,1789.3,104.6,255.8,176.4,193.5,29.6
2019-10-31,1774.5,101.8,248.9,176.5,191.3,29.9
2019-10-30,1779.6,102.8,243.1,177.8,188.9,29.8
2019-10-29,1762.0,102.8,243.2,177.0,189.4,29.9
2019-10-28,1776.4,104.9,249.0,178.9,189.4,30.1
2019-10-25,1761.4,103.8,246.5,174.6,187.9,30.3
2019-10-24,1780.4,103.7,243.5,172.3,186.5,30.8
2019-10-23,1762.4,104.2,243.1,169.6,186.2,38.8
2019-10-22,1765.9,103.6,240.1,169.8,182.0,38.8
2019-10-21,1783.9,104.3,240.5,173.5,189.7,40.1
2019-10-18,1757.6,103.7,236.9,169.1,185.9,39.0
2019-10-17,1787.7,107.5,235.3,176.8,190.4,39.6
2019-10-16,1778.2,108.2,234.4,177.1,189.6,39.9
2019-10-15,1774.1,107.7,235.8,175.5,189.3,40.3
2019-10-14,1737.0,105.4,236.1,171.1,183.4,39.8
2019-10-11,1733.0,104.6,236.4,173.0,184.5,40.4
2019-10-10,1719.8,103.9,230.3,166.0,180.2,39.5
2019-10-09,1722.8,99.8,226.9,165.4,179.9,39.5
2019-10-08,1705.9,99.4,224.6,161.7,178.0,39.8
2019-10-07,1734.8,101.6,227.3,168.6,180.1,40.8
2019-10-04,1738.9,104.4,227.0,170.4,180.7,40.3
2019-10-03,1723.8,104.3,220.3,169.5,179.3,40.1
2019-10-02,1714.3,102.7,219.0,166.3,174.7,39.7
2019-10-01,1737.0,102.0,224.5,165.2,175.9,40.2
2019-09-30,1735.6,102.8,223.9,167.1,178.0,41.1
2019-09-27,1725.2,101.1,218.6,165.8,176.8,41.2
2019-09-26,1737.1,105.0,219.7,175.3,180.0,42.4
2019-09-25,1770.3,102.9,221.4,176.9,182.8,42.5
2019-09-24,1740.6,97.6,218.0,171.8,181.2,41.4
2019-09-23,1786.5,102.3,218.9,177.6,186.9,43.4
2019-09-20,1794.3,105.4,218.1,182.6,189.9,43.2
2019-09-19,1821.1,107.8,221.0,180.8,190.0,42.9
2019-09-18,1817.1,108.4,222.6,180.0,188.2,43.2
2019-09-17,1822.8,108.9,220.6,178.8,188.3,43.2
2019-09-16,1807.0,110.9,219.9,176.6,186.2,42.8
2019-09-13,1837.5,110.5,218.4,179.1,187.1,42.6
2019-09-12,1845.4,111.4,223.1,178.1,187.5,43.2
2019-09-11,1820.9,111.8,223.3,175.9,188.0,43.2
2019-09-10,1816.5,110.2,216.0,174.5,185.6,43.2
2019-09-09,1831.8,105.1,214.3,177.8,188.8,44.3
2019-09-06,1833.3,102.6,213.1,176.5,187.4,45.4
2019-09-05,1841.7,104.0,213.2,178.8,190.8,45.3
2019-09-04,1800.3,102.6,209.1,174.2,187.0,43.4
2019-09-03,1791.9,102.5,205.7,172.3,182.5,41.9
2019-09-02,1775.5,104.4,208.7,175.0,185.3,42.7
2019-08-30,1774.9,104.4,208.2,174.9,185.5,42.6
