Date,Quote
2019-11-11,1450.03
2019-11-08,1458.52
2019-11-07,1467.71
2019-11-06,1490.23
2019-11-05,1483.34
2019-11-04,1508.57
2019-11-01,1514.21
2019-10-31,1512.46
2019-10-30,1495.34
2019-10-29,1487.42
2019-10-28,1491.7
2019-10-25,1504.04
2019-10-24,1502.86
2019-10-23,1490.96
2019-10-22,1487.46
2019-10-21,1483.46
2019-10-18,1489.5
2019-10-17,1491.57
2019-10-16,1488.96
2019-10-15,1479.96
2019-10-14,1492.04
2019-10-11,1488.5
2019-10-10,1493.04
2019-10-09,1504.51
2019-10-08,1504.41
2019-10-07,1492.26
2019-10-04,1504.46
2019-10-03,1504.01
2019-10-02,1499.26
2019-10-01,1478.14
2019-09-30,1472.14
2019-09-27,1496.76
2019-09-26,1503.61
2019-09-25,1503.3
2019-09-24,1530.72
2019-09-23,1522.06
2019-09-20,1515.34
2019-09-19,1498.86
2019-09-18,1493.46
2019-09-17,1500.95
2019-09-16,1498
2019-09-13,1488.36
2019-09-12,1498.86
2019-09-11,1496.74
2019-09-10,1484.44
2019-09-09,1497.86
2019-09-06,1506.56
2019-09-05,1517.98
2019-09-04,1551.83
2019-09-03,1546.08
2019-09-02,1530.73
2019-08-30,1519.87
2019-08-29,1526.64
2019-08-28,1538.49
2019-08-27,1542.57
2019-08-26,1526.18
2019-08-23,1525.51
2019-08-22,1496.92
2019-08-21,1502.46
2019-08-20,1505.96
2019-08-19,1494.94
2019-08-16,1513.55
2019-08-15,1522.93
2019-08-14,1515.88
2019-08-13,1500.74
2019-08-12,1510.93
2019-08-09,1496.32
2019-08-08,1500.75
2019-08-07,1500.81
2019-08-06,1474.22
2019-08-05,1463.52
2019-08-02,1439.76
2019-08-01,1444.41
2019-07-31,1413.71
2019-07-30,1429.73
2019-07-29,1426.29
2019-07-26,1418.21
2019-07-25,1413.99
2019-07-24,1424.89
2019-07-23,1417.33
2019-07-22,1424.75
2019-07-19,1425.34
2019-07-18,1445.82
2019-07-17,1426.33
2019-07-16,1405.98
2019-07-15,1413.64
2019-07-12,1415.47
2019-07-11,1403.65
2019-07-10,1418.7
2019-07-09,1397.26
2019-07-08,1395.34
2019-07-05,1398.95
2019-07-04,1415.07
2019-07-03,1418.46
2019-07-02,1418.44
2019-07-01,1384.02
2019-06-28,1409.25
2019-06-27,1409.64
2019-06-26,1408.81
2019-06-25,1423.19
2019-06-24,1419.48
2019-06-21,1399.21
2019-06-20,1388.25
2019-06-19,1360.11
2019-06-18,1346.26
2019-06-17,1339.39
2019-06-14,1341.58
2019-06-13,1341.97
2019-06-12,1333.29
2019-06-11,1326.19
2019-06-10,1327.79
2019-06-07,1340.34
2019-06-06,1335.17
2019-06-05,1330.06
2019-06-04,1325.25
2019-06-03,1325.11
2019-05-31,1305.2
2019-05-30,1288.03
2019-05-29,1279.45
2019-05-28,1278.79
2019-05-27,1285
2019-05-24,1284.67
2019-05-23,1283.19
2019-05-22,1273
2019-05-21,1274.41
